,Calculated variables,Type(Stoichiometric),,,,,
Symbol,Name,Expression,Value,Unit,Decimals,Rule,Principle/comment
"MsatSO2,KiO2,HMETO",Saturation term for O2 (HMETO),"Msat(SO2;KiO2,HMETO)",0.975609756,-,2,,
"MsatSNOx,KNOx,HMETO",Saturation term for NOx (HMETO),"Msat(SNOx;KNOx,HMETO)",0.996677741,-,2,,
"MsatSNOx,KNOx,ASSIM",Saturation term for NOx (assimilative reduction),"Msat(SNOx;KNOx,ASSIM)",0.999933338,-,2,,
"MRsatXB,XHET,KHYD",Saturation term for slowly biodegradable substrate (hydrolysis),MRsat(XB;XHET;KHYD),0.625,-,2,,
"MsatXB,KXB,HYD",Saturation term for slowly biodegradable substrate in low biomass condition (hydrolysis),"Msat(XB;KXB,HYD)",0.090909091,-,2,,
"LogslopeXHET,HYD,lim",Logistic slope of logistic term for XHET limit,"Logisticslope(XHET,HYD,lim; LograngeXHET,HYD,lim)",0.115825953,g COD.m-3,1,,based on the 95% percentile of the saturation function
"LogsatXHET,HYD,lim",Logistic saturation term for XHET in hydrolysis process,"Logsat(XHET;XHET,HYD,lim;LogslopeXHET,HYD,lim)",0.999992228,-,2,,
"LoginhXHET,HYD,lim",Logistic inhibition term for XHET in hydrolysis process,"Loginh(XHET;XHET,HYD,lim;LogslopeXHET,HYD,lim)",7.77245E-06,-,2,,
"MinhSNHx,KiNHx,ASSIM",Inhibition term for NHx (assimilative reduction),"Minh(SNHx;KiNHx,ASSIM)",0.000166639,-,2,,
"MinhSNOx,KNOx,NITO",Inhibition term for NOx (NITO),"Minh(SNOx;KNOx,NITO)",0.001996008,-,2,,
"MinhSO2,KO2,OHO",Inhibition term for O2 (OHO),"Minh(SO2;KO2,OHO)",0.069767442,-,2,,
"MinhSNOx,KNOx,OHO",Inhibition term for NOx (OHO),"Minh(SNOx;KNOx,OHO)",0.001996008,-,2,,
"MinhSO2,KO2,NITO",Inhibition term for O2 (NITO),"Minh(SO2;KO2,NITO)",0.2,-,2,,
"MinhSO2,KiO2,AMETO",Inhibition term for O2 (AMETO),"Minh(SO2;KiO2,AMETO)",0.024390244,-,2,,
"MinhSNOx,KNOx,AMETO",Inhibition term for NOx (AMETO),"Minh(SNOx;KNOx,AMETO)",0.003322259,-,2,,
"MinhSO2,KiO2,HMETO",Inhibition term for O2 (HMETO),"Minh(SO2;KiO2,HMETO)",0.024390244,-,2,,
"MinhSNOx,KNOx,HMETO",Inhibition term for NOx (HMETO),"Minh(SNOx;KNOx,HMETO)",0.003322259,-,2,,
"MsatSNOx,KNOx,ALGAE",Saturation term for NOx (ALGAE),"Msat(SNOx;KNOx,ALGAE)",0.967741935,-,2,,
"MsatSO2,KO2,ALGAE",Saturation term for O2 (ALGAE),"Msat(SO2;KO2,ALGAE)",0.975609756,-,2,,
"MinhSO2,KO2,ALGAE",Inhibition term for O2 (ALGAE),"Minh(SO2;KO2,ALGAE)",0.024390244,-,2,,
"MsatSNHx,KNHx,ALGAE",Saturation term for NHx (ALGAE),"Msat(SNHx;KNHx,ALGAE)",0.810810811,-,2,,
"MinhSNHx,KiNHx,ALGAE",Inhibition term for NHx (ALGAE),"Minh(SNHx;KiNHx,ALGAE)",0.142857143,-,2,,
"MsatXU,KXU",Saturation term for XU,Msat(XU;KXU),0.985915493,-,2,,
,,,,,,,
,Chemical composition,Type(Stoichiometric),,,,,
Symbol,Name,Expression,Value,Unit,Decimals,Rule,Principle/comment
CHNO3,Charge of NO3,-1/AMN/1000,-7.13944E-05,e-.gN-1,4,,
CHNHx,Charge of NHx,1/AMN/1000,7.13944E-05,e-.gN-1,4,,
CHPO4,Charge of PO4,-1.5/AMP/1000,-4.84281E-05,e-.gN-1,4,,
,,,,,,,
,Temperature dependency correction,Type(Kinetic),,,,,
Symbol,Name,Expression,Value,Unit,Decimals,Rule,Principle/comment
"?OHO,T",Maximum specific growth rate of OHOs (temperature corrected),"?OHO*Arrh(¶»?,OHO; T; Tbase)",4,d-1,2,,
"?FERM,OHO,T",Fermentation growth rate of OHOs (temperature corrected),"?FERM,OHO*Arrh(¶»FERM,OHO; T; Tbase)",0.4,d-1,2,,
"bOHO,T",Decay rate of OHOs (temperature corrected),"bOHO*Arrh(¶»b,OHO;T;Tbase)",0.62,d-1,2,,
"?NITO,T",Maximum specific growth rate of NITOs (temperature corrected),"?NITO*Arrh(¶»?,NITO; T; Tbase)",0.9,d-1,2,,
"bNITO,T",Decay rate of NITOs (temperature corrected),"bNITO*Arrh(¶»b,NITO; T; Tbase)",0.17,d-1,2,,
"?AMETO,T",Maximum specific growth rate of AMETOs (temperature corrected),"?AMETO*Arrh(¶»?,AMETO; T; Tbase)",0.3,d-1,2,,
"bAMETO,T",Decay rate of AMETOs (temperature corrected),"bAMETO*Arrh(¶»b,AMETO; T; Tbase)",0.1,d-1,2,,
"?HMETO,T",Maximum specific growth rate of HMETOs (temperature corrected),"?HMETO*Arrh(¶»?,HMETO; T; Tbase)",1.3,d-1,2,,
"bHMETO,T",Decay rate of HMETOs (temperature corrected),"bHMETO*Arrh(¶»b,HMETO; T; Tbase)",0.3,d-1,2,,
"?ALGAE,T",Maximum specific growth rate of ALGAE (temperature corrected),"?ALGAE*Arrh(¶»?,ALGAE; T; Tbase)",2,d-1,2,GenThreePondModel,
"bALGAE,T",Respiration rate of ALGAE (temperature corrected),"bALGAE*Arrh(¶»b,ALGAE;T;Tbase)",0.1,d-1,2,GenThreePondModel,
"qHYD,T",Rate of hydrolysis (temperature corrected),"qHYD*Arrh(¶»q,HYD; T; Tbase)",2,d-1,2,,
"qAMMON,T",Rate of ammonification (temperature corrected),"qAMMON*Arrh(¶»q,AMMON; T; Tbase)",0.05,d-1,2,,
"qXE,T",Rate of endogenous decay products conversion (temperature corrected),"qXE*Arrh(¶»q,XE; T; Tbase)",0.007,d-1,2,,
"qXU,T",Rate of particulate unbiodegradable organics conversion (temperature corrected),"qXU*Arrh(¶»q,XU; T; Tbase)",0.000001,d-1,2,,
"qASSIM,T",Rate of assimilative nutrient reduction (temperature corrected),"qASSIM*Arrh(¶»q,ASSIM; T; Tbase)",1,d-1,2,,
,,,,,,,
,Calculated gas transfer coefficients,Type(Kinetic),,,,,
Symbol,Name,Expression,Value,Unit,Decimals,Rule,Principle/comment
"kL,GN2,bub",Liquid-side mass transfer coefficient of N2 for gas bubbles,"fkL,GN2*(DGN2,25/DGO2,25)^0.5*kL,GO2,bub",11.82750828,d-1,2,,
"kL,GCH4,bub",Liquid-side mass transfer coefficient of CH4 for gas bubbles,"fkL,GCH4*(DGCH4,25/DGO2,25)^0.5*kL,GO2,bub",10.9764864,d-1,2,,
"kL,GH2,bub",Liquid-side mass transfer coefficient of H2 for gas bubbles,"fkL,GH2*(DGH2,25/DGO2,25)^0.5*kL,GO2,bub",19.07552353,d-1,2,,
"kL,GN2,sur",Liquid-side mass transfer coefficient of N2 at liquid surface,"fkL,GN2*(DGN2,25/DGO2,25)^0.5*kL,GO2,sur",6.914543303,d-1,2,,
"kL,GCH4,sur",Liquid-side mass transfer coefficient of CH4 at liquid surface,"fkL,GCH4*(DGCH4,25/DGO2,25)^0.5*kL,GO2,sur",6.417022816,d-1,2,,
"kL,GH2,sur",Liquid-side mass transfer coefficient of H2 at liquid surface,"fkL,GH2*(DGH2,25/DGO2,25)^0.5*kL,GO2,sur",11.15184453,d-1,2,,
,,,,,,,
,Alpha factor influencing expressions,Type(Kinetic),,,,,
Symbol,Name,Expression,Value,Unit,Decimals,Rule,Principle/comment
"qALPHA,O2",Alpha improvement rate (dissolved oxygen corrected),"qALPHA*((1-fO2,max,ALPHA)*SO2/(KO2,ALPHA+SO2)+fO2,max,ALPHA)",0.00145122,m3.g-1.d-1,4,,
dampALPHA,Alpha first order limitation-dampening term,"1+coeffdamp,ALPHA*(SALPHA/SALPHA,sat)^powdamp,ALPHA",1.026652032,unitless,2,,
"corrh,diff,¶¡",Depth-related alpha factor correction term,"(SALPHA-1)*Exp(slh,diff,¶¡*hdiff)+1",0.875711174,unitless,2,Diffused,
"corrTSS,¶¡",Solids-related alpha factor correction term,"Exp(slTSS,¶¡,def*XTSS/cg,kg)",0.870752374,unitless,2,Diffused; Non-SOTECorr_cap; Non-SOTEFixed_coarse,
"corrTSS,¶¡",Solids-related alpha factor correction term,"Exp(slTSS,¶¡,coarse*XTSS/cg,kg)",0.911863386,unitless,2,SOTECorr_cap,
"corrTSS,¶¡",Solids-related alpha factor correction term,"Exp(slTSS,¶¡,coarse*XTSS/cg,kg)",0.911863386,unitless,2,SOTEFixed_coarse,
"corrTSS,¶¡",Solids-related alpha factor correction term,"coefflead,TSS,¶¡,mech*(XTSS/cg,kg)^2 + coefflin,TSS,¶¡,mech * XTSS/cg,kg + constTSS,¶¡,mech",0.919177388,unitless,2,Mechanical,
¶¡pred,Alpha factor predicted,"SALPHA/corrh,diff,¶¡*corrTSS,¶¡",0.497168701,unitless,2,Diffused,
¶¡pred,Alpha factor predicted,"SALPHA*corrTSS,¶¡",0.435376187,unitless,2,Mechanical,
,,,,,,,
,Temperature calculations,Type(Energy),,,,,
Symbol,Name,Expression,Value,Unit,Decimals,Rule,Principle/comment
TK,Temperature [K],"T+TSTP,K",293.15,K,1,,
T,Temperature [°„C],"(SH-HSTP)/cp,water",20,°„C,1,,
,,,,,,,
,Heat - pond model,Type(Kinetic),,,,,
Symbol,Name,Expression,Value,Unit,Decimals,Rule,Principle/comment
rate_Hbio,Biological heat rate of biological reactions,"(+(-v1_SO2*r1)+(-v4_SO2*r4)+(-v10_SO2*r10)+(-v11_SO2*r11)+(-v12_SO2*r12)+(+EEQN2,NO3 * v2_SN2*r2)) * DeltaHbio",6.175400209,MJ.m-3.d-1,2,GenThreePondModel,
,,,,,,,
,COD Balance - pond model,Type(Kinetic),,,,,
Symbol,Name,Expression,Value,Unit,Decimals,Rule,Principle/comment
"rate_TCOD,stripping",Rate of CH4 and H2 stripping (F),((v31_SCH4 * r31) + (v32_SH2 * r32)),-6.935,g.m-3.d-1,2,GenThreePondModel,
"rate_TCOD,oxydation,O2",Rate of TCOD oxidized using oxygen (G), - ((v1_SO2 * r1 * -1) + (v12_SO2 * r12 * -1)),-342.3741706,g.m-3.d-1,2,GenThreePondModel,
"rate_TCOD,oxydation,NO3",Rate of TCOD oxidized using nitrite and nitrate (H), - ((v2_SNOx * r2 * -EEQNO3) + (v19_SNOx * r19 * -EEQNO3) + (v2_SN2 * r2 * -EEQN2)),-36.0286104,g.m-3.d-1,2,GenThreePondModel,
"rate_TCOD,photosynt",Rate of TCOD produced by photosynthesis (I),((v11_XALGAE * r11) + (v10_XALGAE * r10)),0,g.m-3.d-1,2,GenThreePondModel,
